#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-11T14:57:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ613cc36442099 
#INFO -out.max=1000 
#INFO queryParameters=18 
#-oc.form=sexa
#-out.max=1000
#-nav=cat:J/A+A/608/A63&tab:{J/A+A/608/A63/table9}&key:source=J/A+A/608/A63&HTTPPRM:&
#-source=J/A+A/608/A63/table9
#-order=I
#-out=BJD
#-out=RVT
#-out=e_RVT
#-out=RVY
#-out=e_RVY
#-out=drift
#-out=e_drift
#-out=SNR
#-out=S
#-out=e_S
#-out=Halpha
#-out=e_Halpha
#-out=Notes
#
#
#RESOURCE=yCat_36080063
#Name: J/A+A/608/A63
#Title: HADES VI. GJ 3942b activity with HARPS-N (Perger+, 2017)
#Table J_A_A_608_A63_table9:
#Name: J/A+A/608/A63/table9
#Title: Data of 145 observations of GJ 3942
#---Details of Columns:
#    BJD (d)         (F9.4)  Barycentric Julian date (BJD-2456000) [ucd=time.epoch]
#    RVT (m/s)       (F7.3)  ? Relative radial velocity from TERRA pipeline (second fiber drifts already included) [ucd=phys.veloc;pos.heliocentric]
#    e_RVT (m/s)     (F6.3)  ? Radial velocity error from TERRA [ucd=stat.error]
#    RVY (m/s)       (F10.3) Radial velocity from DRS pipeline [ucd=phys.veloc;pos.heliocentric]
#    e_RVY (m/s)     (F6.3)  Radial velocity error from DRS [ucd=stat.error]
#    drift (m/s)     (F6.3)  Instrumental RV drift of the observation [ucd=arith.rate]
#    e_drift (m/s)   (F6.3)  Instrumental RV drift error [ucd=stat.error]
#    SNR             (F4.1)  signal-to-noise-ratio of order 46 [ucd=stat.snr]
#    S               (F6.3)  S index from CaII H and K lines [ucd=meta.code;spect.index]
#    e_S             (F6.3)  S index error [ucd=stat.error]
#    Halpha (10-2)   (F6.3)  Halpha index [ucd=spect.index;em.line.Halpha]
#    e_Halpha (10-2) (F6.3)  Halpha index error [ucd=stat.error]
#    Notes           (A3)    Notes (1) [ucd=meta.note]
#--------- ------- ------ ---------- ------ ------ ------ ---- ------ ------ ------ ------ ---
#                                                  e                         H      e_H       
#          RV      e_RVT             e_RVY  drift  _drift                    alpha  alpha  No 
#BJD (d)   T (m/s) (m/s)  RVY (m/s)  (m/s)  (m/s)  (m/s)  SNR  S      e_S    (10-2) (10-2) tes
#--------- ------- ------ ---------- ------ ------ ------ ---- ------ ------ ------ ------ ---
BJD RVT e_RVT RVY e_RVY drift e_drift SNR S e_S Halpha e_Halpha Notes
 438.5877   0.613  1.113 -18708.988  1.549  0.000  1.025 67.7  1.793  0.042  6.276  0.102 3
 440.5944  -8.092  0.812 -18711.672  1.333  0.000  1.025 80.2  1.898  0.060  6.420  0.102 3
 442.5249  -3.829  0.797 -18708.737  1.146  0.000  1.025 93.4  1.994  0.082  6.545  0.103 3
 443.4686  -6.004  1.134 -18710.886  2.064  0.000  1.025 52.0  2.088  0.028  6.697  0.104 3
 444.4712  -6.527  0.941 -18711.617  1.468  0.000  1.025 72.3  1.784  0.047  6.308  0.102 3
 484.5573   6.111  1.028 -18702.499  1.719 -0.295  0.466 62.3  1.901  0.035  6.406  0.104 2
 485.4829   4.955  0.803 -18700.269  1.407  0.701  0.466 76.7  1.837  0.054  6.306  0.103 2
 507.4481   5.466  2.473 -18700.743  3.278  0.426  0.466 27.4  1.888  0.019  6.425  0.105 2
 525.4515   1.035  1.841 -18704.549  2.803  0.000  1.025 36.2  1.842  0.019  6.248  0.110 3
 533.3811   9.353  0.842 -18696.837  1.342  0.000  1.025 79.6  1.740  0.055  6.182  0.102 3
 534.3513   6.998  1.171 -18699.863  2.216  0.000  1.025 48.0  1.743  0.025  6.136  0.102 3
 535.4050   0.740  1.098 -18706.809  1.897  0.000  1.025 57.8  1.713  0.032  6.169  0.103 3
 536.4488  -2.641  1.018 -18706.784  1.321  1.277  0.466 81.0  1.878  0.057  6.411  0.109 2
 693.7262   0.464  1.207 -18706.424  1.801  0.000  1.025 58.7  1.643  0.031  6.071  0.101 3
 694.7261   4.463  1.199 -18699.953  1.659  0.060  0.466 63.5  1.607  0.037  5.937  0.101 2
 695.7478   7.208  1.636 -18701.660  2.764  0.000  1.025 36.9  1.689  0.017  6.085  0.102 3
 696.7101   4.767  0.811 -18701.972  1.849  0.000  1.025 56.5  1.814  0.030  6.294  0.102 3
 697.7231   5.559  0.928 -18701.245  1.443  0.000  1.025 74.0  1.843  0.049  6.320  0.101 3
 698.6999   2.548  1.291 -18706.279  2.346  0.000  1.025 45.1  1.873  0.020  6.350  0.102 3
 699.6711   0.834  0.985 -18706.606  1.524  0.975  0.466 69.9  1.864  0.042  6.306  0.101 2
 700.6779   0.340  0.874 -18709.525  1.416  1.433  0.466 76.4  1.871  0.050  6.326  0.102 2
 701.6547  -1.396  1.232 -18712.201  1.912  0.611  0.466 56.3  1.855  0.028  6.399  0.103 2
 702.6503  -6.852  1.096 -18714.692  1.949 -1.049  0.466 53.1  1.781  0.026  6.318  0.102 2
 720.6468   0.062  0.919 -18703.052  1.835  0.000  1.025 58.1  1.968  0.030  6.522  0.103 3
